tweet;waktu;user
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sun Apr 19 08:35:01 +0000 2020;27Zaziza
Kalo keadaan kayak gini pemerintah minta tolong ke masyarakat untuk kerjasama buat social distancing, tapi ntar kal… https://t.co/d0IGSEOYf0;Sun Apr 19 08:07:05 +0000 2020;MasfufahHasanah
"Rakyat menderita,
Pemerintah dirumahsaja tapi pendanaan selalu tersedia,
Karena korupsi masih di bungkam dan semaki… https://t.co/xWKgkH44pM";Sun Apr 19 07:41:04 +0000 2020;IdrusAbdillah2
"RT @FathraNazrul: Tunjangan Guru PNS Disunat, Irwan Lontarkan Kritik Menyengat 
#Guru
#CoronaBungkamSkandalKorupsi
#TurunkanHargaBBM
#Indon…";Sun Apr 19 07:39:12 +0000 2020;jito_sub
#CoronaBungkamSkandalKorupsi;Sun Apr 19 06:42:31 +0000 2020;zoelsalim
RT @andre_nuaba: Haru penuh empati melihat mereka masih harus melawan rasa takut pada Covid-19 demi menyambung hidup dan asa. Ya, ini berat…;Sun Apr 19 06:41:59 +0000 2020;Madebayu56Made
"Tunjangan Guru PNS Disunat, Irwan Lontarkan Kritik Menyengat 
#Guru
#CoronaBungkamSkandalKorupsi
#TurunkanHargaBBM… https://t.co/3ghDR6Obvc";Sun Apr 19 06:41:58 +0000 2020;FathraNazrul
"Arief Poyuono Mengaitkan Munculnya Cacing Tanah dengan Jokowi 
#CacingTanah
#CoronaBungkamSkandalKorupsi… https://t.co/72whyqlzxi";Sun Apr 19 06:39:12 +0000 2020;FathraNazrul
"Hasil Jajak Pendapat Fahri Hamzah, Rakyat Tak Butuh Penjelasan! 
#BebaskanSitiFadilah
#LawanMafiaKesehatan… https://t.co/YY4FpDq34S";Sun Apr 19 06:36:06 +0000 2020;FathraNazrul
"Udah nonggak, ga keluar ampir 2bln, bah . ... Nasip jomblooo??????
#CoronaJancok #CoronaBungkamSkandalKorupsi… https://t.co/hc8vPuFkU8";Sun Apr 19 06:29:08 +0000 2020;sandyiee_
"Tambahan PR, sumbangan dari Pusat kakak pembina berapa? 

Cuma 1x bagi2 utk org2 jalanan di bogor itu doang?… https://t.co/zUrdBfy2vH";Sun Apr 19 05:52:09 +0000 2020;gatotmulyono31
"@pertamina kapan #TurunkanHargaBBM 
#TurunkanHargaBBM #TurunkanHargaBBM #CoronaBungkamSkandalKorupsi";Sun Apr 19 04:37:06 +0000 2020;ashepmillan
Gangerti sama kebijakan pemerintah pelepasan napi dalam asimilasi corona, pada akhirnya banyak napi yg berbuat keja… https://t.co/CvBBQKOESP;Sun Apr 19 04:04:58 +0000 2020;afrial_chalid
"Ketika masalah datang padaku 
Kan ku hadapi sendiri
Bukan soal kamu atau mereka
Melainkan semua hanya pelipur lara… https://t.co/BlK58gNDBx";Sun Apr 19 03:58:46 +0000 2020;WaSaidu
RT @sadad_aidi: Silahkan Madu asli ?? % tanpa campuran gula, sakarin, boraks Apalagi alkohol. Insyaallah kami jual harga murah dengan yang l…;Sun Apr 19 03:51:03 +0000 2020;yusuf_ch
"Karya anak bangsa
#StafsusOtakKoruptor 
#CoronaBungkamSkandalKorupsi https://t.co/vU3ri7vqcb";Sun Apr 19 03:46:19 +0000 2020;koempulbersama
"@budimandjatmiko Alhamdulillah Indonesia masuk 30 besar  ????
Cuma kelakuan para Panitia Komisioner, nama Indonesia d… https://t.co/Wi2tjvaxiG";Sun Apr 19 03:34:57 +0000 2020;Hang_Tuah_
"RT @acongtuh_: Kuy PreOrder!
Sablon plastisol ink
Bahan cotton combed 30's

#fightingpandemics
#corona
#COVID19
#CoronaIndonesia
#sablonpla…";Sun Apr 19 03:30:36 +0000 2020;fachryhmzh
"Kok bisa

Negara bayak pinter

Jurus Vietnam Nol Kematian Corona  https://t.co/7fAYAkirkt 

#JKW_LBPHarusDihentikan… https://t.co/IEye3STNXX";Sun Apr 19 03:18:51 +0000 2020;Ramadha05649419
"Karena guru bukan stafsus
#BubarkanStafsusPresiden
#StafsusOtakKoruptor #LawanCovid19 #Lawyerdiary… https://t.co/XCmRSYTeSf";Sun Apr 19 03:17:17 +0000 2020;arief_uniteak
"Akhir² ini grafik kriminalitas mencapai titik kenaikan yang signifikan. Siapakah dalang dibalik nya..
Yang dipenjar… https://t.co/NmJPphnsY4";Sun Apr 19 03:04:22 +0000 2020;zainal_arifin31
"@Jhonkosmik @sendyalfa24 Oh ya  pak gimana kabar korupsi 
KTP elektronik...
#CoronaBungkamSkandalKorupsi";Sun Apr 19 03:03:53 +0000 2020;totosalehl
